"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5475","create collaborator","webkit","Tue Sep 17 13:50:55 UTC 2024","passed","Tue Sep 17 13:51:00 UTC 2024","","connectF.spec.ts","",""
"","5106","mossal login","webkit","Tue Sep 17 13:51:08 UTC 2024","passed","Tue Sep 17 13:51:13 UTC 2024","","login.spec.ts","",""
"","5301","ajout collaborateur","webkit","Tue Sep 17 13:51:13 UTC 2024","passed","Tue Sep 17 13:51:19 UTC 2024","","mossallFixture.spec.ts","",""
"","2960","mossal login","chromium","Tue Sep 17 13:50:26 UTC 2024","passed","Tue Sep 17 13:50:29 UTC 2024","","login.spec.ts","",""
"","3305","ajout collaborateur","chromium","Tue Sep 17 13:50:29 UTC 2024","passed","Tue Sep 17 13:50:33 UTC 2024","","mossallFixture.spec.ts","",""
"","4770","create collaborator","firefox","Tue Sep 17 13:50:34 UTC 2024","passed","Tue Sep 17 13:50:39 UTC 2024","","connectF.spec.ts","",""
"","3010","test de connexion","firefox","Tue Sep 17 13:50:39 UTC 2024","passed","Tue Sep 17 13:50:42 UTC 2024","","connexion.spec.ts","",""
"","3513","ajout collaborateur","firefox","Tue Sep 17 13:50:49 UTC 2024","passed","Tue Sep 17 13:50:53 UTC 2024","","mossallFixture.spec.ts","",""
"","2902","test de connexion","chromium","Tue Sep 17 13:50:21 UTC 2024","passed","Tue Sep 17 13:50:24 UTC 2024","","connexion.spec.ts","",""
"","2515","Ajout collaborateur","chromium","Tue Sep 17 13:50:24 UTC 2024","passed","Tue Sep 17 13:50:26 UTC 2024","","demoFixture.spec.ts","",""
"","4077","Ajout collaborateur","webkit","Tue Sep 17 13:51:04 UTC 2024","passed","Tue Sep 17 13:51:08 UTC 2024","","demoFixture.spec.ts","",""
"","3769","mossal login","firefox","Tue Sep 17 13:50:45 UTC 2024","passed","Tue Sep 17 13:50:49 UTC 2024","","login.spec.ts","",""
"","3689","test de connexion","webkit","Tue Sep 17 13:51:01 UTC 2024","passed","Tue Sep 17 13:51:04 UTC 2024","","connexion.spec.ts","",""
"","3182","Ajout collaborateur","firefox","Tue Sep 17 13:50:42 UTC 2024","passed","Tue Sep 17 13:50:45 UTC 2024","","demoFixture.spec.ts","",""
"","10574","create collaborator","chromium","Tue Sep 17 13:50:10 UTC 2024","passed","Tue Sep 17 13:50:21 UTC 2024","","connectF.spec.ts","",""
